recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_prep_time,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t49j48qz1xs9000g1vr5sc34w,1.7979143999982625,0.11689173090333163,0.0009730387259637611,"[0.0023653295144213625, 1.4998001691574636, 0.31575970512439566, 1.4999297694229967, 1.4998829262102047, 0.09186987251760018]",0.028048227670130293,3999.9992810082713,2650.9631979125834,5999.997884762364,5999.999000253091,0t49fgtahnrvv000294qhkf8jm
0t49jge4gxy7h000pvgh0pn16r,1.6534328000270762,0.020811364366024807,0.0009905652569028268,"[0.002333490209048012, 1.4999150099935297, 0.3059179334125478, 1.4999061524955146, 1.499881867273068, 0.09359711756932951]",0.03510904849376819,10.0006614507231,100.00028509816805,5999.998350651394,10.000344583061379,0t49fgtahnrvv000294qhkf8jm
0t49jnbxadv09000v15vaxrkq8,1.299938199983444,0.14602835343301418,0.000800158699200524,"[0.0021473723939101144, 1.4998595736910079, 0.2870187896940285, 1.49999871616183, 1.4996543106206826, 0.09402418456663185]",0.050852981289533424,10.000436781485766,3114.484854614509,10.000185877052918,5999.999863244446,0t49fgtahnrvv000294qhkf8jm
0t49jxtb0hz5n0001hd4szczpg,1.5828516999608837,0.024843214829714147,0.0008788142548863048,"[0.002258434669948156, 1.499941615727836, 0.30187080681781275, 1.499506084870785, 1.4999713215262314, 0.09449703057846873]",0.02116624315948757,3999.998920469369,100.00030268111767,10.00011928671112,10.000424415906235,0t49fgtahnrvv000294qhkf8jm
0t49k1ywenw8f000xds0ftkg6r,1.3923820999916643,0.13389965471882534,0.0009457267362384933,"[0.0021667317476426005, 1.4998957642299642, 0.29568603128039483, 1.4998508950134688, 1.4999874254618812, 0.09253320449551614]",0.04832313711122671,10.000328199886296,5999.999936136828,10.00019904230617,5999.998032188822,0t49fgtahnrvv000294qhkf8jm
0t49kbhf9hwfs0009qxsk4fkv0,1.4528074000263587,0.08628277385630877,0.0008061598067153275,"[0.002582364899780573, 1.4998944012298394, 0.3276836873266521, 1.4997611361887986, 1.4999839367215735, 0.09854673221967916]",0.042391780273420915,10.001150583152565,1744.0911808729013,10.000275839196961,10.001511354244505,0t49fgtahnrvv000294qhkf8jm
0t49kerv75zy1000qpzwc21dfw,1.5289839000324719,0.15093512816090163,0.000774184853022969,"[0.002479830407516821, 1.4999602932293765, 0.3354007776481392, 1.499974585730636, 1.4995536971012637, 0.09698260502721281]",0.027497465199872912,10.000372850276648,5999.999628273726,5999.999914220255,5999.9999747769,0t49fgtahnrvv000294qhkf8jm
0t49ktp3mxy59000m0bwa6t7m8,1.4304727999842726,0.14771173572441257,0.0007360747421897537,"[0.0023487361375618653, 1.499844248446486, 0.31673672621526294, 1.499949788545622, 1.499501363404033, 0.10077299518768569]",0.024691513442774714,3999.9981198117052,4522.434317120914,10.000562848195676,10.000029829942777,0t49fgtahnrvv000294qhkf8jm
0t49m0j0pxthz0007ghkas9yq8,1.2289274000213481,0.11110706847425536,0.0007152498916276024,"[0.002239795449359684, 1.499964784657449, 0.3028904742553535, 1.499879996138773, 1.4983068703538698, 0.10213068898757727]",0.031797664412987786,10.000435742828506,4042.6941069949125,5999.9953545404305,10.001309564128354,0t49fgtahnrvv000294qhkf8jm
0t49m715dsw6z000we0h33ev7m,1.4497342000249773,0.018991874963233235,0.0006956690679246639,"[0.002131779167130813, 1.4997853873463467, 0.27795653316807056, 1.4992070308744712, 1.4984599711405586, 0.10346044083997338]",0.03802640535400276,10.002367384466138,100.00055005844793,5999.997096600022,5999.999789570688,0t49fgtahnrvv000294qhkf8jm
0t49mgmy4nsmn000jwzyswrqwc,1.6099719000048935,0.022760866373519956,0.0006717486224220389,"[0.00207049855796965, 1.4999160833851164, 0.2756454101203347, 1.499904185665923, 1.49960711899219, 0.10342365436691786]",0.035004126545921145,3999.998806496839,100.00018596289958,10.00177706131925,5999.999615033597,0t49fgtahnrvv000294qhkf8jm
0t49msfjz5rbq000j6dp1nmj8w,1.7965706999530084,0.1699636385735135,0.0006170278900757307,"[0.0019712224317506334, 1.4999863574067762, 0.2608127259374946, 1.4999850254770322, 1.499553520660446, 0.10289540546660227]",0.03630553074154856,10.000315630272492,4727.835940330029,10.00109530963762,5999.99085026618,0t49fgtahnrvv000294qhkf8jm
0t49n2j9wnyn30006a30a275bg,1.5534740000148304,0.15570216830236147,0.0005754676714337705,"[0.0020202070071327315, 1.4997702354698186, 0.2928700901363075, 1.4996586769099265, 1.4984004183514352, 0.10192651173430894]",0.03947832530713276,3999.9997665384562,4186.941902863545,5999.998415045877,5999.998734266918,0t49fgtahnrvv000294qhkf8jm
0t49nfard5rev000wj16gy4stc,1.3044893999467604,0.1450471087109373,0.0005269079838775003,"[0.0019584745305530303, 1.4999401568022233, 0.293124994010291, 1.4996921971014716, 1.4992721238953672, 0.1010277820538074]",0.022272145305950244,10.000899565255763,3045.685943426376,5999.998753518472,5999.997687862031,0t49fgtahnrvv000294qhkf8jm
0t49nt386xyh10000b13y23j10,1.4387953999685124,0.10645360471722361,0.0005622147388491394,"[0.0018955909167365885, 1.4999207362060605, 0.29714255647911825, 1.4994708066869653, 1.4987725595869175, 0.10174949728121478]",0.03242664902326448,3999.998572323972,2350.115574534364,10.00214453116355,10.000073861083296,0t49fgtahnrvv000294qhkf8jm
0t49nz446nwdv0001dexpajkc4,1.5393291999935172,0.09398721608331237,0.0004986166438520214,"[0.0018667467391916097, 1.4998631483086724, 0.3049981382958036, 1.499702472678504, 1.4994406235637705, 0.0999517576658258]",0.023672867572559767,3999.9993784858107,1536.4994970586815,10.001955925746275,5999.998477863675,0t49fgtahnrvv000294qhkf8jm
0t49p8h039w310006y4q616v6c,1.6293522999621928,0.16354068334986938,0.0004297717297998195,"[0.0018244810923493185, 1.4999497730773275, 0.3123323796876854, 1.4999759131167125, 1.4984937954508146, 0.1001158031339199]",0.019772653989645235,3999.9997605865933,3137.4275217375684,10.003014160374518,5999.999332484166,0t49fgtahnrvv000294qhkf8jm
0t49pjhe25s4x000gnva4n4adg,1.572280700027477,0.18387884392077908,0.0005064838090741872,"[0.0017925231009388344, 1.499565747366928, 0.3195121596493141, 1.4997174881547686, 1.4994278904660572, 0.09958385193500473]",0.027489782270056443,3999.999436597188,5999.998710788097,10.000107503974748,5999.999837788317,0t49fgtahnrvv000294qhkf8jm
0t49pxjy4drg500004g7vrd5sg,1.56469540001126,0.12297029769279441,0.0004664176241902936,"[0.0017632315625877755, 1.4999536297932137, 0.32381448736239765, 1.4999358381868229, 1.499514334538615, 0.0985774880099778]",0.03165750705863669,10.001603796352471,5999.999793891623,5999.999673498388,10.000690238262488,0t49fgtahnrvv000294qhkf8jm
0t49q4t9edv3d000grkhr4gfn0,1.3192851000349037,0.09110127726184332,0.0004162721937369874,"[0.0018124675917582725, 1.4998928872761081, 0.33593276171131464, 1.4995259364196383, 1.498950722847868, 0.10260071692031106]",0.016233711802782835,3999.9990549703275,2035.041289016014,5999.999935737506,10.001173112297124,0t49fgtahnrvv000294qhkf8jm
0t49qc23m1v6s000393j4zsg8g,1.5566188999800943,0.012376169415155888,0.00044224387260557123,"[0.0017598228846827171, 1.499979523271199, 0.34162379417470573, 1.4999052599921452, 1.499723346147607, 0.10278851310363522]",0.034490362129699303,3999.999535782577,100.00001912970451,5999.999938375751,10.00017174781239,0t49fgtahnrvv000294qhkf8jm
0t49qjhx5nr6s000qqpat3yssr,1.8702487999689765,0.1562022261114712,0.0004172096537363512,"[0.0017000271290393103, 1.4999873130425758, 0.335642788890933, 1.4999765396026035, 1.499586853996789, 0.10196185173769132]",0.01986589228787713,3999.9999875823146,5999.999794022438,10.000185119811169,10.000312823704942,0t49fgtahnrvv000294qhkf8jm
0t49qs0s9hr9v000m45n9rsfh8,1.649016500043217,0.11400737039182836,0.00033471509793303833,"[0.0017505402517758797, 1.4999150386594566, 0.34747708692771145, 1.4999946281194716, 1.4995113243319027, 0.10503287000068151]",0.026417093284371883,10.000544959079983,2679.606202756845,5999.997447243746,10.000348347296411,0t49fgtahnrvv000294qhkf8jm
0t49qyyt89zfd00056mjjx1zmw,1.5679441999527626,0.07799464191203308,0.0003132786815389662,"[0.0017553678054902655, 1.4999896003722206, 0.35691360593647725, 1.499712157453028, 1.499916940769733, 0.10379255268337854]",0.018209782486993398,3999.9994955527395,1343.0069510756355,5999.998853785389,5999.999907141362,0t49fgtahnrvv000294qhkf8jm
